Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,78.699997,78.800003,75.599998,75.599998,73.518112,213780
2018-05-02,75.599998,77.250000,75.599998,77.250000,75.122673,137563
2018-05-03,77.300003,77.400002,75.800003,75.800003,73.712608,82673
2018-05-04,76.150002,76.599998,75.699997,76.349998,74.247459,64610
2018-05-07,76.349998,76.650002,75.750000,75.900002,73.809853,64875
2018-05-08,75.900002,76.050003,74.550003,75.900002,73.809853,124282
2018-05-09,76.050003,76.199997,74.599998,75.000000,72.934639,135544
2018-05-10,75.300003,75.500000,74.800003,75.349998,73.274994,71290
2018-05-11,73.599998,74.400002,73.199997,73.500000,73.500000,102300
2018-05-14,73.500000,74.449997,73.300003,74.349998,74.349998,75769
2018-05-15,74.150002,74.199997,71.699997,71.750000,71.750000,105836
2018-05-16,71.300003,72.699997,71.000000,72.650002,72.650002,156269
2018-05-17,75.099998,75.349998,73.000000,75.199997,75.199997,204084
2018-05-18,75.300003,75.599998,73.900002,73.900002,73.900002,102253
2018-05-21,74.150002,74.449997,73.300003,74.099998,74.099998,70745
2018-05-22,74.000000,75.800003,74.000000,75.150002,75.150002,102345
2018-05-23,74.750000,75.449997,74.449997,74.750000,74.750000,143412
2018-05-24,74.550003,74.900002,73.699997,73.849998,73.849998,84971
2018-05-25,74.150002,74.849998,73.400002,74.099998,74.099998,121147
2018-05-28,74.300003,74.300003,73.050003,73.050003,73.050003,54299
2018-05-29,72.550003,73.050003,71.550003,72.449997,72.449997,59601
