Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,66.800003,67.220001,66.610001,67.089996,65.181175,1698039
2018-05-02,66.910004,67.059998,66.470001,66.639999,64.743980,1843280
2018-05-03,66.699997,67.059998,66.320000,66.779999,64.879997,1396169
2018-05-04,65.070000,65.330002,64.849998,65.080002,65.080002,1934105
2018-05-07,65.300003,65.320000,65.000000,65.190002,65.190002,850888
2018-05-08,65.220001,65.599998,64.910004,65.370003,65.370003,1282388
2018-05-09,65.580002,65.580002,64.529999,64.720001,64.720001,1576146
2018-05-10,64.620003,65.309998,64.570000,65.220001,65.220001,889242
2018-05-11,65.300003,65.300003,64.730003,64.730003,64.730003,941183
2018-05-14,64.779999,64.879997,64.470001,64.779999,64.779999,1021288
2018-05-15,64.669998,64.919998,64.410004,64.860001,64.860001,1794521
2018-05-16,64.730003,64.870003,64.480003,64.610001,64.610001,1144640
2018-05-17,64.650002,65.239998,64.320000,65.199997,65.199997,1545229
2018-05-18,65.059998,65.589996,64.709999,64.879997,64.879997,3350018
2018-05-21,65.300003,66.739998,65.230003,65.910004,65.910004,1536773
2018-05-22,66.000000,66.129997,65.279999,65.629997,65.629997,1341849
2018-05-23,65.629997,66.010002,65.440002,65.589996,65.589996,1837902
2018-05-24,65.660004,66.559998,65.459999,66.400002,66.400002,1875445
2018-05-25,66.660004,67.480003,66.459999,67.190002,67.190002,1713630
2018-05-28,67.290001,67.639999,67.139999,67.480003,67.480003,1119447
2018-05-29,67.180000,67.349998,66.610001,67.220001,67.220001,846206
