Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,51.779999,52.330002,51.689999,52.330002,52.330002,5712854
2018-05-02,51.980000,52.310001,51.650002,51.650002,51.650002,7030296
2018-05-03,51.580002,51.849998,51.549999,51.779999,51.779999,4972015
2018-05-04,51.820000,52.270000,51.779999,52.270000,52.270000,5163665
2018-05-07,51.840000,52.730000,51.810001,52.709999,52.709999,4198502
2018-05-08,52.189999,52.410000,51.689999,51.810001,51.810001,7169504
2018-05-09,52.060001,52.779999,52.020000,52.779999,52.779999,5916840
2018-05-10,52.849998,52.900002,52.279999,52.709999,52.709999,3775827
2018-05-11,52.740002,53.330002,52.580002,53.330002,53.330002,4121949
2018-05-14,53.220001,53.779999,53.080002,53.700001,53.700001,4211624
2018-05-15,53.610001,54.139999,53.580002,53.900002,53.900002,5613306
2018-05-16,53.580002,53.900002,53.459999,53.540001,53.540001,4804039
2018-05-17,53.480000,54.599998,53.470001,54.500000,54.500000,5938975
2018-05-18,54.180000,54.950001,54.169998,54.480000,54.480000,10371317
2018-05-21,54.590000,54.860001,54.430000,54.500000,54.500000,3037025
2018-05-22,54.369999,54.689999,53.750000,54.119999,54.119999,6018371
2018-05-23,53.500000,53.750000,52.130001,52.439999,52.439999,8905934
2018-05-24,52.450001,52.840000,51.720001,51.810001,51.810001,5891801
2018-05-25,51.820000,52.160000,50.889999,51.060001,51.060001,7037082
2018-05-28,50.959999,51.389999,50.580002,50.759998,50.759998,3593822
2018-05-29,50.459999,50.740002,49.490002,50.180000,50.180000,4056058
